Job Role,Company,Skills
Data Scientist,Airbnb,"Data Visualization, Big Data, Pandas, Business Intelligence, Python, SciPy, Data Mining, A/B Testing, Scikit-learn"
Digital Marketing Specialist,JPMorgan Chase,"Marketing Strategy, Social Media Marketing, Email Marketing, Digital Marketing, Market Research"
Frontend Developer,ServiceNow,"CSS, HTML, TypeScript, Vue.js, Angular, JavaScript"
Data Engineer,Salesforce,"Data Warehousing, Hadoop, Python, SQL, ETL, Spark"
UX Designer,HSBC,"Figma, User Research, Wireframing, Prototyping, UI Design"
Product Manager,Meta,"Agile, User Stories, Product Strategy, Market Analysis, Roadmapping"
Digital Marketing Specialist,Visa,"SEO, Digital Marketing, Email Marketing, Marketing Strategy, Marketing Automation, Social Media Marketing"
Financial Analyst,American Express,"Accounting, Excel, Bloomberg Terminal, Risk Management, Financial Statements, Valuation, Forecasting, Budgeting, VBA"
Data Scientist,Intel,"Hadoop, Tableau, Data Warehousing, Predictive Modeling, Scikit-learn, Pandas, Big Data, Statistical Analysis"
Investment Banking Analyst,Wells Fargo,"Risk Management, Excel, Valuation, Financial Statements, VBA, Portfolio Management, Financial Planning"
Data Scientist,Uber,"Power BI, Predictive Modeling, Statistical Analysis, Spark, Machine Learning, Business Intelligence, Data Mining, SQL, Data Modeling, Tableau"
Software Engineer,Uber,"MongoDB, Machine Learning, SQL, CI/CD, Redis, Spring Boot"
Digital Marketing Specialist,Goldman Sachs,"Brand Management, Campaign Management, Marketing Analytics, Content Strategy, Google Ads, SEO, CRM, Marketing Automation, Social Media Marketing, Marketing Strategy"
Cloud Engineer,Bank of America,"AWS, Azure, Docker, GCP, Kubernetes, Terraform"
Full Stack Developer,Uber,"PostgreSQL, CI/CD, Azure, Angular, Docker, DevOps, GraphQL, Agile"
Cloud Engineer,Amazon,"Azure, Docker, GCP, Terraform, AWS, Kubernetes"
Data Analyst,Meta,"Statistics, Data Mining, Statistical Analysis, Data Modeling, Hadoop, Pandas, Power BI, Business Intelligence, NumPy, SciPy"
Digital Marketing Specialist,Oliver Wyman,"Marketing Strategy, Brand Management, CRM, Campaign Management, Marketing Analytics, Content Marketing, Digital Marketing, Content Strategy, Google Analytics, Social Media Marketing"
Project Manager,Meta,"Project Planning, Scrum, Stakeholder Management, Risk Management, Agile"
Investment Banking Analyst,Citigroup,"Forecasting, Budgeting, Portfolio Management, Risk Management, Financial Planning, Excel, M&A"
Full Stack Developer,Adobe,"Docker, CI/CD, Git, Vue.js, PyTorch, AWS, SQL, Elasticsearch, Angular, GraphQL"
Investment Banking Analyst,Charles Schwab,"Business Analysis, M&A, Financial Modeling, Portfolio Management, SQL, Investment Banking, Financial Statements"
DevOps Engineer,VMware,"CI/CD, Docker, AWS, Linux, Jenkins, Kubernetes, Ansible"
Product Manager,Citigroup,"Product Strategy, Roadmapping, Market Analysis, User Stories, Agile"
Backend Developer,Square,"Node.js, Java, MongoDB, Redis, SQL, Python, APIs"
Software Engineer,Workday,"Docker, Spring Boot, Java, HTML, Node.js, PostgreSQL"
Backend Developer,Meta,"Python, APIs, MongoDB, Node.js, Redis, Java"
Software Engineer,Databricks,"Kubernetes, CSS, Docker, Ansible, Elasticsearch, Git, Node.js, Redis, Azure"
Product Manager,Goldman Sachs,"Roadmapping, User Stories, Agile, Market Analysis, Product Strategy"
Frontend Developer,Square,"React, Vue.js, JavaScript, CSS, Angular, HTML"
Frontend Developer,IBM,"CSS, TypeScript, React, Vue.js, Angular, HTML, JavaScript"
Data Scientist,Databricks,"Hadoop, Statistical Analysis, Machine Learning, R, Statistics, Big Data, Pandas, Predictive Modeling, A/B Testing, Tableau"
Business Development Manager,Uber,"Market Analysis, CRM, Negotiation, Sales, Partnership Building"
Business Development Manager,Square,"CRM, Market Analysis, Sales, Negotiation, Partnership Building"
Financial Analyst,Visa,"Valuation, Quickbooks, Financial Reporting, Accounting, Financial Planning, Financial Statements"
UX Designer,Morgan Stanley,"Prototyping, User Research, Wireframing, Figma, UI Design"
DevOps Engineer,Uber,"Docker, Linux, Kubernetes, CI/CD, Jenkins, Ansible, AWS"
Financial Analyst,BlackRock,"Financial Planning, VBA, M&A, Financial Statements, Portfolio Management, Financial Analysis, Bloomberg Terminal, Business Analysis"
Machine Learning Engineer,JPMorgan Chase,"Python, PyTorch, Machine Learning, TensorFlow, Deep Learning"
Financial Analyst,Fidelity,"VBA, Financial Planning, SQL, M&A, Valuation, Forecasting, Investment Banking, Risk Management, Financial Analysis"
Cloud Engineer,Snowflake,"AWS, Kubernetes, Docker, Azure, Terraform"
Data Analyst,Meta,"Statistical Analysis, Pandas, Data Modeling, Data Warehousing, Spark, NumPy"
Financial Analyst,Bank of America,"Accounting, Financial Planning, Financial Reporting, Capital Markets, Investment Banking"
Machine Learning Engineer,Apple,"TensorFlow, Machine Learning, Deep Learning, Python, PyTorch"
Backend Developer,IBM,"APIs, SQL, Redis, Java, MongoDB, Python"
Software Engineer,Uber,"Ansible, Machine Learning, Jenkins, HTML, REST APIs, Linux, Docker, Redis, MongoDB"
Senior Software Engineer,Netflix,"JavaScript, TensorFlow, Kubernetes, Git, CI/CD, Node.js"
